id_achat,id_client,date_achat,montant,produit
1,1,2025-11-12 05:31:04,387.02,Mouse
2,1,2025-09-24 11:23:38,256.42,Mouse
3,1,2025-05-23 19:20:33,483.47,Headphones
4,1,2025-08-03 11:16:58,402.62,Tablet
5,1,2025-08-16 09:52:12,437.77,Laptop
6,1,2025-08-15 04:48:07,324.18,Keyboard
7,1,2025-06-21 16:47:05,281.72,Phone
8,1,2025-04-17 19:32:27,358.59,Speaker
9,1,2025-12-20 00:27:06,427.07,Monitor
10,1,2025-06-26 06:41:59,51.1,Tablet
11,1,2025-07-31 13:38:38,143.67,Speaker
12,1,2025-11-10 07:36:50,82.2,Mouse
13,1,2025-07-19 13:27:19,54.94,Headphones
14,1,2025-05-11 13:49:08,410.18,Keyboard
15,1,2025-12-07 05:37:56,465.93,Mouse
16,2,2026-01-14 10:53:52,204.26,Keyboard
17,2,2025-07-13 22:41:49,125.53,Phone
18,3,2025-03-22 08:30:36,120.02,Keyboard
19,3,2026-01-14 04:56:04,466.1,Keyboard
20,3,2025-12-25 13:36:02,397.78,Tablet
21,3,2025-03-30 09:03:51,28.77,Webcam
22,3,2025-06-24 18:14:27,351.08,Tablet
23,3,2025-05-12 09:37:11,381.83,Webcam
24,3,2025-01-21 16:34:14,229.81,Laptop
25,3,2025-08-15 06:16:06,453.87,Laptop
26,3,2025-12-08 16:22:43,135.4,Tablet
27,3,2025-05-30 03:04:51,278.91,Charger
28,3,2025-11-12 16:31:58,268.61,Phone
29,3,2025-07-19 14:27:28,390.32,Headphones
30,4,2025-10-02 05:36:14,69.71,Headphones
31,4,2025-03-28 07:08:35,215.71,Charger
32,4,2025-10-12 18:45:51,233.99,Phone
33,4,2026-01-07 17:56:05,419.98,Webcam
34,4,2025-02-27 13:54:06,302.4,Laptop
35,4,2025-06-18 06:34:37,319.66,Charger
36,4,2025-09-02 16:55:37,128.55,Tablet
37,4,2025-10-01 00:50:12,152.72,Laptop
38,4,2025-07-01 18:26:15,311.26,Headphones
39,4,2025-07-01 20:01:09,289.63,Tablet
40,5,2025-06-28 17:40:46,337.43,Speaker
41,5,2025-04-03 17:54:22,487.58,Phone
42,5,2025-09-24 13:17:57,477.17,Speaker
43,5,2025-01-31 16:08:45,258.59,Speaker
44,5,2025-09-17 17:48:22,281.53,Mouse
45,5,2025-04-17 11:05:26,437.93,Laptop
46,5,2025-03-15 05:02:57,321.48,Keyboard
47,5,2025-09-14 04:20:11,134.29,Laptop
48,5,2025-09-18 03:32:24,184.98,Phone
49,5,2025-08-03 21:07:51,178.95,Phone
50,5,2025-02-20 15:49:57,388.04,Keyboard
51,5,2025-09-10 05:50:40,75.37,Keyboard
52,5,2025-08-29 23:41:56,277.55,Tablet
53,5,2025-10-31 17:34:41,416.89,Webcam
54,5,2025-06-28 03:31:32,490.6,Webcam
55,5,2025-01-29 06:17:20,319.55,Tablet
56,5,2025-05-26 14:52:22,40.92,Webcam
57,5,2025-09-14 05:19:43,28.12,Headphones
58,5,2025-04-27 11:04:51,31.47,Headphones
59,5,2025-03-26 00:58:23,444.04,Keyboard
60,5,2025-08-29 11:46:55,467.35,Speaker
61,5,2025-09-20 07:30:04,205.13,Speaker
62,6,2025-07-22 16:01:01,134.12,Headphones
63,6,2025-10-13 04:11:24,150.19,Laptop
64,6,2025-02-24 17:19:58,434.24,Keyboard
65,6,2025-06-13 04:52:20,143.88,Keyboard
66,6,2025-01-29 05:13:31,224.11,Mouse
67,6,2025-11-04 22:24:12,374.22,Mouse
68,6,2025-09-10 22:22:59,176.13,Tablet
69,6,2025-12-29 12:23:50,253.14,Webcam
70,6,2025-11-23 03:40:41,190.0,Speaker
71,6,2025-10-01 10:16:03,140.69,Phone
72,6,2025-06-20 14:22:12,366.27,Phone
73,6,2025-08-22 19:00:42,221.0,Tablet
74,6,2025-08-06 23:27:21,277.28,Keyboard
75,6,2025-12-21 17:17:31,60.27,Keyboard
76,6,2025-04-05 08:38:55,333.85,Monitor
77,6,2025-12-16 14:55:06,228.5,Mouse
78,7,2026-01-10 01:10:05,347.98,Keyboard
79,7,2025-03-24 01:37:40,229.09,Keyboard
80,7,2025-07-17 04:10:46,311.28,Mouse
81,7,2025-06-12 17:23:34,144.53,Laptop
82,7,2025-10-28 04:52:22,46.77,Mouse
83,7,2025-12-26 01:47:41,188.02,Tablet
84,8,2025-04-23 08:02:40,79.96,Charger
85,9,2025-03-29 10:32:56,392.84,Laptop
86,9,2025-07-22 18:23:49,71.85,Headphones
87,9,2026-01-19 08:15:01,391.47,Keyboard
88,9,2025-10-24 05:10:19,187.45,Charger
89,9,2026-01-13 05:24:04,25.87,Tablet
90,9,2025-04-07 23:35:53,342.74,Keyboard
91,9,2025-05-25 17:28:18,192.29,Phone
92,9,2025-03-12 21:51:08,291.22,Speaker
93,9,2025-05-14 04:15:12,189.81,Keyboard
94,9,2025-02-14 13:33:48,328.28,Headphones
95,9,2026-01-02 18:18:07,480.65,Laptop
96,9,2025-02-01 09:22:39,370.48,Webcam
97,9,2025-04-10 18:54:42,263.7,Speaker
98,9,2025-09-01 17:06:26,67.7,Monitor
99,9,2025-07-18 11:58:10,354.98,Headphones
100,9,2025-07-17 17:27:08,498.22,Monitor
101,9,2025-04-25 13:28:02,350.05,Webcam
102,9,2025-10-12 21:44:26,108.09,Tablet
103,9,2025-09-11 16:09:08,427.88,Webcam
104,9,2025-07-11 16:36:41,94.6,Webcam
105,9,2025-04-24 07:58:59,498.66,Keyboard
106,9,2025-11-25 19:44:44,337.24,Phone
107,10,2025-03-30 02:05:08,275.66,Monitor
108,10,2025-07-18 14:04:54,427.17,Tablet
109,10,2025-08-02 15:48:19,398.91,Speaker
110,10,2025-09-26 11:33:07,119.88,Headphones
111,10,2025-03-04 13:31:30,398.11,Headphones
112,10,2025-11-28 12:22:10,397.28,Laptop
113,10,2025-09-11 23:12:55,186.84,Charger
114,10,2025-12-11 19:01:45,190.77,Speaker
115,10,2025-05-29 01:01:26,73.59,Phone
116,10,2025-12-25 01:53:23,42.22,Mouse
117,10,2026-01-12 17:56:16,499.8,Webcam
118,10,2026-01-08 08:49:37,267.59,Mouse
119,10,2025-03-23 05:56:10,413.44,Phone
120,10,2025-04-25 11:45:25,71.41,Keyboard
121,10,2025-07-18 21:35:39,324.75,Webcam
122,10,2025-10-27 19:25:23,238.26,Speaker
123,10,2025-02-16 12:26:28,178.81,Speaker
124,10,2025-01-23 01:37:16,323.5,Tablet
125,11,2025-11-07 03:00:06,483.47,Mouse
126,11,2025-02-01 22:43:56,256.4,Laptop
127,11,2025-10-12 06:23:05,417.38,Speaker
128,11,2025-10-10 06:22:19,84.98,Tablet
129,11,2025-06-27 04:53:23,89.36,Headphones
130,11,2025-12-23 03:04:27,179.55,Speaker
131,11,2025-08-10 06:02:54,448.51,Phone
132,11,2025-07-22 00:07:54,132.8,Speaker
133,11,2025-12-21 05:27:41,144.48,Monitor
134,11,2025-06-19 00:51:56,311.07,Phone
135,11,2025-02-16 17:19:09,256.26,Tablet
136,11,2025-11-20 11:57:05,299.99,Charger
137,11,2025-07-01 09:01:15,85.56,Charger
138,11,2025-05-01 09:06:44,363.11,Charger
139,11,2025-12-29 10:56:54,175.43,Charger
140,11,2025-10-25 10:50:58,30.19,Laptop
141,11,2025-08-17 01:50:58,49.8,Charger
142,11,2025-03-08 09:05:52,139.68,Headphones
143,11,2025-10-25 09:09:20,385.81,Mouse
144,11,2025-11-17 23:52:06,312.87,Laptop
145,11,2025-09-13 02:53:56,254.04,Speaker
146,11,2025-09-28 16:46:26,151.94,Monitor
147,11,2025-08-15 20:17:49,246.64,Mouse
148,11,2025-10-24 23:32:58,155.74,Phone
149,11,2025-01-29 14:33:06,347.42,Tablet
150,12,2025-07-09 16:46:38,213.65,Webcam
151,12,2025-07-26 02:54:55,109.97,Charger
152,12,2025-12-07 20:41:20,80.4,Keyboard
